clip,group,verdict,description,clip_path,montage
VID-20250923-WA0023_clip_006.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_006.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_007.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_007.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_008.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_008.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_009.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_009.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_010.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_010.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_011.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_011.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_012.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_012.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_013.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_013.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_014.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_014.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_015.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_015.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_016.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_016.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_017.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_017.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_018.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_018.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250924-WA0016_clip_001.mp4,panic_flight_sparse,unsure,"Sparse high-motion street (flight-like; density low, verify vs brisk walk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0016_clip_001.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20250924-WA0016.png
VID-20250924-WA0016_clip_005.mp4,panic_flight_sparse,unsure,"Sparse high-motion street (flight-like; density low, verify vs brisk walk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0016_clip_005.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20250924-WA0016.png
VID-20250924-WA0016_clip_009.mp4,panic_flight_sparse,unsure,"Sparse high-motion street (flight-like; density low, verify vs brisk walk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0016_clip_009.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20250924-WA0016.png
VID-20250924-WA0016_clip_013.mp4,panic_flight_sparse,unsure,"Sparse high-motion street (flight-like; density low, verify vs brisk walk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0016_clip_013.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20250924-WA0016.png
VID-20250924-WA0016_clip_014.mp4,panic_flight_sparse,unsure,"Sparse high-motion street (flight-like; density low, verify vs brisk walk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0016_clip_014.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20250924-WA0016.png
VID-20250924-WA0016_clip_019.mp4,panic_flight_sparse,unsure,"Sparse high-motion street (flight-like; density low, verify vs brisk walk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0016_clip_019.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20250924-WA0016.png
VID-20250924-WA0017_clip_021.mp4,panic_flight_sparse,unsure,MARTA/plaza sparse motion (flight-like; mixed w/ news),/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0017_clip_021.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20250924-WA0017.png
VID-20250924-WA0017_clip_027.mp4,panic_flight_sparse,unsure,MARTA/plaza sparse motion (flight-like; mixed w/ news),/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0017_clip_027.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20250924-WA0017.png
VID-20250924-WA0021_clip_004.mp4,panic_flight_sparse,unsure,Sparse high-motion (flight-like; low density),/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_004.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_005.mp4,panic_flight_sparse,unsure,Sparse high-motion (flight-like; low density),/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_005.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_006.mp4,panic_flight_sparse,unsure,Sparse high-motion (flight-like; low density),/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_006.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20250924-WA0021.png
VID-20251025-WA0003_clip_001.mp4,panic_flight_sparse,unsure,Sparse motion clip (flight-like; low density),/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20251025-WA0003_clip_001.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20251025-WA0003.png
VID-20251025-WA0003_clip_002.mp4,panic_flight_sparse,unsure,Sparse motion clip (flight-like; low density),/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20251025-WA0003_clip_002.mp4,outputs_improved/panic_subfolders/panic_flight_sparse/VID-20251025-WA0003.png
VID-20250924-WA0021_clip_010.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_010.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_016.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_016.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_017.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_017.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_018.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_018.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_019.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_019.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_020.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_020.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_025.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_025.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_029.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_029.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_032.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_032.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_034.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_034.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_035.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_035.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_040.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_040.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0021_clip_041.mp4,panic_static_wide_undercounted,unsure,"Distant/aerial crowd, low-res; undercounted (dense-vs-sparse unclear at this res)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0021_clip_041.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0021.png
VID-20250924-WA0022_clip_007.mp4,panic_static_wide_undercounted,unsure,"Times Square daytime aerial: distant crowd, YOLO undercounts; some near-empty frames (false-positive risk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0022_clip_007.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0022.png
VID-20250924-WA0022_clip_008.mp4,panic_static_wide_undercounted,unsure,"Times Square daytime aerial: distant crowd, YOLO undercounts; some near-empty frames (false-positive risk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0022_clip_008.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0022.png
VID-20250924-WA0022_clip_009.mp4,panic_static_wide_undercounted,unsure,"Times Square daytime aerial: distant crowd, YOLO undercounts; some near-empty frames (false-positive risk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0022_clip_009.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0022.png
VID-20250924-WA0022_clip_010.mp4,panic_static_wide_undercounted,unsure,"Times Square daytime aerial: distant crowd, YOLO undercounts; some near-empty frames (false-positive risk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0022_clip_010.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0022.png
VID-20250924-WA0022_clip_011.mp4,panic_static_wide_undercounted,unsure,"Times Square daytime aerial: distant crowd, YOLO undercounts; some near-empty frames (false-positive risk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0022_clip_011.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0022.png
VID-20250924-WA0022_clip_012.mp4,panic_static_wide_undercounted,unsure,"Times Square daytime aerial: distant crowd, YOLO undercounts; some near-empty frames (false-positive risk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0022_clip_012.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0022.png
VID-20250924-WA0022_clip_013.mp4,panic_static_wide_undercounted,unsure,"Times Square daytime aerial: distant crowd, YOLO undercounts; some near-empty frames (false-positive risk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0022_clip_013.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0022.png
VID-20250924-WA0022_clip_014.mp4,panic_static_wide_undercounted,unsure,"Times Square daytime aerial: distant crowd, YOLO undercounts; some near-empty frames (false-positive risk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0022_clip_014.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0022.png
VID-20250924-WA0022_clip_015.mp4,panic_static_wide_undercounted,unsure,"Times Square daytime aerial: distant crowd, YOLO undercounts; some near-empty frames (false-positive risk)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0022_clip_015.mp4,outputs_improved/panic_subfolders/panic_static_wide_undercounted/VID-20250924-WA0022.png
VID-20250924-WA0020_clip_001.mp4,panic_archival_bw,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (behaviorally panic; archival B&W domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_001.mp4,outputs_improved/panic_subfolders/panic_archival_bw/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_002.mp4,panic_archival_bw,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (behaviorally panic; archival B&W domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_002.mp4,outputs_improved/panic_subfolders/panic_archival_bw/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_003.mp4,panic_archival_bw,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (behaviorally panic; archival B&W domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_003.mp4,outputs_improved/panic_subfolders/panic_archival_bw/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_004.mp4,panic_archival_bw,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (behaviorally panic; archival B&W domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_004.mp4,outputs_improved/panic_subfolders/panic_archival_bw/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_009.mp4,panic_archival_bw,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (behaviorally panic; archival B&W domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_009.mp4,outputs_improved/panic_subfolders/panic_archival_bw/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_014.mp4,panic_archival_bw,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (behaviorally panic; archival B&W domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_014.mp4,outputs_improved/panic_subfolders/panic_archival_bw/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_015.mp4,panic_archival_bw,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (behaviorally panic; archival B&W domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_015.mp4,outputs_improved/panic_subfolders/panic_archival_bw/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_016.mp4,panic_archival_bw,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (behaviorally panic; archival B&W domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_016.mp4,outputs_improved/panic_subfolders/panic_archival_bw/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_005.mp4,panic_dense_crush,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (archival domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_005.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_006.mp4,panic_dense_crush,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (archival domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_006.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_007.mp4,panic_dense_crush,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (archival domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_007.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_008.mp4,panic_dense_crush,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (archival domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_008.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_010.mp4,panic_dense_crush,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (archival domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_010.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_011.mp4,panic_dense_crush,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (archival domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_011.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_012.mp4,panic_dense_crush,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (archival domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_012.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250924-WA0020.png
VID-20250924-WA0020_clip_013.mp4,panic_dense_crush,archival,"B&W ""Buyout Footage"": historical crowds running/fleeing (archival domain)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0020_clip_013.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250924-WA0020.png
VID-20250924-WA0023_clip_006.mp4,panic_ambiguous,genuine,Times Square fleeing/chaos,/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0023_clip_006.mp4,outputs_improved/panic_subfolders/panic_ambiguous/VID-20250924-WA0023.png
VID-20250924-WA0023_clip_007.mp4,panic_ambiguous,genuine,Times Square fleeing/chaos,/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0023_clip_007.mp4,outputs_improved/panic_subfolders/panic_ambiguous/VID-20250924-WA0023.png
VID-20250924-WA0023_clip_009.mp4,panic_ambiguous,genuine,Times Square fleeing/chaos,/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0023_clip_009.mp4,outputs_improved/panic_subfolders/panic_ambiguous/VID-20250924-WA0023.png
VID-20250924-WA0023_clip_010.mp4,panic_ambiguous,genuine,Times Square fleeing/chaos,/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0023_clip_010.mp4,outputs_improved/panic_subfolders/panic_ambiguous/VID-20250924-WA0023.png
VID-20251025-WA0002_clip_001.mp4,panic_ambiguous,genuine,"Hindi news ""bhagdad"" dense stampede aerial",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20251025-WA0002_clip_001.mp4,outputs_improved/panic_subfolders/panic_ambiguous/VID-20251025-WA0002.png
VID-20251025-WA0002_clip_002.mp4,panic_ambiguous,genuine,"Hindi news ""bhagdad"" dense stampede aerial",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20251025-WA0002_clip_002.mp4,outputs_improved/panic_subfolders/panic_ambiguous/VID-20251025-WA0002.png
VID-20251025-WA0002_clip_004.mp4,panic_ambiguous,genuine,"Hindi news ""bhagdad"" dense stampede aerial",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20251025-WA0002_clip_004.mp4,outputs_improved/panic_subfolders/panic_ambiguous/VID-20251025-WA0002.png
VID-20250923-WA0009_clip_001.mp4,panic_dense_crush,genuine,"Lalbaug temple crowd surge against police cordon, hands up, pushing",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0009_clip_001.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0009.png
VID-20250923-WA0009_clip_002.mp4,panic_dense_crush,genuine,"Lalbaug temple crowd surge against police cordon, hands up, pushing",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0009_clip_002.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0009.png
VID-20250923-WA0024_clip_001.mp4,panic_dense_crush,genuine,IANS: enormous barricaded mass gathering (Kumbh-scale crush),/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0024_clip_001.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0024.png
VID-20250923-WA0024_clip_002.mp4,panic_dense_crush,genuine,IANS: enormous barricaded mass gathering (Kumbh-scale crush),/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0024_clip_002.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0024.png
VID-20250923-WA0024_clip_003.mp4,panic_dense_crush,genuine,IANS: enormous barricaded mass gathering (Kumbh-scale crush),/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0024_clip_003.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0024.png
VID-20250923-WA0024_clip_004.mp4,panic_dense_crush,genuine,IANS: enormous barricaded mass gathering (Kumbh-scale crush),/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0024_clip_004.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0024.png
VID-20250923-WA0025_clip_001.mp4,panic_dense_crush,genuine,"Chinnaswamy Stadium stampede: people piled/collapsed, victims pulled out",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0025_clip_001.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0025.png
VID-20250924-WA0012_clip_001.mp4,panic_dense_crush,genuine,"Viral: stampede outside Chinnaswamy Stadium, dense chaos",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0012_clip_001.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250924-WA0012.png
VID-20250924-WA0012_clip_002.mp4,panic_dense_crush,genuine,"Viral: stampede outside Chinnaswamy Stadium, dense chaos",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0012_clip_002.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250924-WA0012.png
